"MALDITOFMS
Listeria serial No.",No.,Srotype,MLST,hly,inlA,clpC,plcA,菌株名,血清型,DuPont ID,DuPont ID Label,RiboGroup,病原性,β溶血性,由来, ,マイクロバンク保存年月日
L1,1,1/2a,33,6,3,9,13,LM1,1/2a,DUP-1045,Listeria monocytogenes,ECORI 422-80-S-2,,＋＋,鶏肉,本研究室,2009年5月
L2,2,1/2a,45,5,6,2,16,LM3,1/2a,DUP-19157,Listeria monocytogenes,ECORI 422-72-S-1,,＋,鶏ミンチ,本研究室,2009年5月
L3,3,4b,21,3,14,10,8,LM4,4b,DUP-1038,Listeria monocytogenes,ECORI 422-78-S-3,,W,鶏キモ,本研究室,2009年5月
L4,4,1/2a,45,5,6,2,16,LM7,1/2a,DUP-16619,Listeria monocytogenes,ECORI 422-72-S-1,,＋,鶏ミンチ,本研究室,2009年5月
L5,5,1/2a,45,5,6,2,16,LM8,1/2a,DUP-16619,Listeria monocytogenes,ECORI 422-72-S-1,,＋,鶏ミンチ,本研究室,2009年5月
L6,6,4b,22,3,14,13,8,LM9,4b,DUP-19191,Listeria monocytogenes,ECORI 422-78-S-3,,＋,鶏キモ,本研究室,2009年5月
L7,7,4b,22,3,14,13,8,LM10,4b,DUP-1038,Listeria monocytogenes,ECORI 422-78-S-3,,W,鶏キモ,本研究室,2009年5月
L8,8,1/2a,33,6,3,9,13,LM11,1/2a,DUP-1047,Listeria monocytogenes,ECORI 422-95-S-1,,＋＋,鶏肉,本研究室,2009年5月
L9,9,1/2a,45,5,6,2,16,LM12,1/2a,DUP-16619,Listeria monocytogenes,ECORI 422-72-S-1,,＋,鶏ミンチ,本研究室,2009年5月
L10,10,1/2a,47,5,6,2,18,LM13,1/2a,DUP-16619,Listeria monocytogenes,ECORI 422-72-S-1,,＋,鶏ミンチ,本研究室,2009年5月
L11,11,1/2a,46,5,6,2,17,LM14,1/2a,DUP-19170,Listeria monocytogenes,ECORI 422-62-S-4,,＋＋,鶏肉,本研究室,2009年5月
L12,12,1/2a,45,5,6,2,16,LM15,1/2a,DUP-16619,Listeria monocytogenes,ECORI 422-72-S-1,,＋＋,鶏肉,本研究室,2009年5月
L13,13,1/2c,36,8,1,3,19,LM16,1/2c,DUP-19165,Listeria monocytogenes,ECORI 422-64-S-5,,＋＋,豚ミンチ,本研究室,2009年5月
L14,14,4b,23,3,14,11,8,LM17,4b,DUP-19191,Listeria monocytogenes,ECORI 422-78-S-3,,＋,鶏ミンチ,本研究室,2009年5月
L15,15,4b,22,3,14,13,8,LM18,4b,DUP-19191,Listeria monocytogenes,ECORI 422-78-S-3,,＋＋,鶏ミンチ,本研究室,2009年5月
L16,16,4b,22,3,14,13,8,LIS1,4b,DUP-1038,Listeria monocytogenes,ECORI 422-78-S-3,,＋＋,,福岡市保健環境研究所,2009年5月
L17,17,1/2a,38,6,3,13,19,LIS2,1/2a,DUP-19191,Listeria monocytogenes,ECORI 422-78-S-3,,＋＋,,福岡市保健環境研究所,2009年5月
L18,18,1/2b,13,4,12,12,8,LIS3,1/2b,DUP-19175,Listeria monocytogenes,ECORI 422-63-S-6,,＋＋,馬肉,福岡市保健環境研究所,2009年5月
L19,19,1/2b,4,1,10,13,9,LIS7,1/2b,DUP-19170,Listeria monocytogenes,ECORI 422-62-S-4,,＋＋,鶏肉,福岡市保健環境研究所,2009年5月
L20,20,4b,24,3,14,14,3,LIS9,4b,DUP-1042,Listeria monocytogenes,ECORI 422-62-S-1,,＋＋,輸入チーズ,福岡市保健環境研究所,2009年5月
L21,21,1/2a,52,9,8,1,14,LIS10,1/2a,DUP-1053,Listeria monocytogenes,ECORI 422-71-S-1,,＋,辛子明太子,福岡市保健環境研究所,2009年5月
L22,22,1/2b,4,1,10,13,9,LIS16,1/2b,DUP-19187,Listeria monocytogenes,ECORI 422-63-S-6,,＋,辛子明太子,福岡市保健環境研究所,2009年5月
L23,23,3a,45,5,6,2,16,LIS19,3a,DUP-18042,Listeria monocytogenes,ECORI 422-63-S-6,,＋,辛子明太子,福岡市保健環境研究所,2009年5月
L24,24,4e,31,1,14,13,1,LIS21,4e,DUP-1016,Listeria innocua,ECORI 422-90-S-1,,ー,辛子明太子,福岡市保健環境研究所,2009年5月
L25,25,3c,45,5,6,2,16,LIS28,3c,DUP-19169,Listeria monocytogenes,ECORI 422-79-S-3,,＋,辛子明太子,福岡市保健環境研究所,2009年5月
L26,26,1/2b,4,1,10,13,9,SNU1,1/2b,DUP-1042,Listeria monocytogenes,ECORI 422-63-S-6,,＋,,韓国ソウル大学,2009年5月
L27,27,1/2b,4,1,10,13,9,SNU2,1/2b,DUP-1042,Listeria monocytogenes,ECORI 422-63-S-6,,＋,,韓国ソウル大学,2009年5月
L28,28,4b,22,3,14,13,8,SNU3,4b,DUP-1038,Listeria monocytogenes,ECORI 422-78-S-3,,W,,韓国ソウル大学,2009年5月
L29,29,1/2b,4,1,10,13,9,SNU4,1/2b,DUP-1051,Listeria monocytogenes,ECORI 422-62-S-4,,＋,,韓国ソウル大学,2009年5月
L30,30,1/2b,4,1,10,13,9,SNU5,1/2b,DUP-1042,Listeria monocytogenes,ECORI 422-63-S-6,,＋,,韓国ソウル大学,2009年5月
L31,31,1/2b,6,1,11,13,9,SNU6,1/2b,DUP-1042,Listeria monocytogenes,ECORI 422-63-S-6,,＋,,韓国ソウル大学,2009年5月
L32,32,1/2c,38,6,2,3,19,SNU7,1/2c,DUP-19165,Listeria monocytogenes,ECORI 422-64-S-5,,＋＋,,韓国ソウル大学,2009年5月
L33,33,1/2a,38,6,2,3,19,SNU8,1/2a,DUP-1035,Listeria monocytogenes,ECORI 422-75-S-8,,＋＋,,韓国ソウル大学,2009年5月
L34,34,1/2a,39,6,2,4,19,SNU9,1/2a,DUP-1035,Listeria monocytogenes,ECORI 422-75-S-8,,＋＋,,韓国ソウル大学,2009年5月
L35,35,1/2a,52,9,8,1,14,SNU10,1/2a,DUP-18645,Listeria monocytogenes,ECORI 422-75-S-3,,＋,,韓国ソウル大学,2009年5月
L36,36,1/2a,45,5,6,2,16,SNU11,1/2a,DUP-19169,Listeria monocytogenes,ECORI 422-79-S-3,,＋,,韓国ソウル大学,2009年5月
